disasterNumber,State,Title, FederalFunded ,ProjectAmount
4172,Montana,ICE JAMS AND FLOODING," $1,925,935.20 ",2566280.8
4201,Hawaii,PU'U O'O VOLCANIC ERUPTION AND LAVA FLOW," $11,358,961.57 ",15030822.06
3285,Wisconsin,RECORD SNOW AND NEAR RECORD SNOW," $8,596,849.56 ",11417809.86
3286,Ohio,RECORD SNOW AND NEAR RECORD SNOW," $7,122,145.99 ",9481809.34
3283,Illinois,RECORD SNOW AND NEAR RECORD SNOW," $5,046,066.37 ",6718281.23
3305,Oklahoma,RECORD SNOW AND NEAR RECORD SNOW," $397,944.96 ",526258.39
4031,New York,REMNANTS OF TROPICAL STORM LEE," $321,927,757.18 ",429224120.1
4038,Maryland,REMNANTS OF TROPICAL STORM LEE," $11,018,960.86 ",14706234.12
4039,New Jersey,REMNANTS OF TROPICAL STORM LEE," $4,007,617.71 ",5323064.62
3340,Pennsylvania,REMNANTS OF TROPICAL STORM LEE," $495,306.49 ",660408.6
3341,New York,REMNANTS OF TROPICAL STORM LEE," $3,194.36 ",4259.15
4158,California,RIM FIRE," $22,608,079.95 ",29797749.83
4133,Colorado,ROYAL GORGE FIRE," $173,358.39 ",229634.06
4104,Arizona,SEVERE FREEZE," $1,602,599.04 ",2132018.96
4046,Connecticut,SEVERE STORM," $87,025,183.43 ",115118203.3
4048,New Jersey,SEVERE STORM," $26,548,791.05 ",35235139.5
4257,Alaska,SEVERE STORM," $12,760,808.75 ",16876933
4231,New Jersey,SEVERE STORM," $12,627,290.91 ",15475726.61
1854,Iowa,SEVERE STORM," $6,484,641.68 ",8602319.42
4244,Alaska,SEVERE STORM," $4,045,956.31 ",5351019.41
4053,Utah,SEVERE STORM," $2,564,683.72 ",4027626.48
1951,Vermont,SEVERE STORM," $1,555,019.55 ",2063957.7
4054,Alaska,SEVERE STORM," $1,340,817.62 ",1772608.1
4351,Alaska,SEVERE STORM," $165,352.50 ",220470
3342,Connecticut,SEVERE STORM," $28,257.80 ",37027.06
4279,Maryland,SEVERE STORM AND FLOODING," $6,926,773.45 ",9124946.21
4065,New Hampshire,SEVERE STORM AND FLOODING," $3,039,192.36 ",4049202.56
4088,Utah,SEVERE STORM AND FLOODING," $1,653,796.77 ",2188722.27
4232,Vermont,SEVERE STORM AND FLOODING," $1,227,207.07 ",1619435.41
4356,Vermont,SEVERE STORM AND FLOODING," $757,099.20 ",1001708.2
4354,Maine,SEVERE STORM AND FLOODING," $499,274.77 ",656130.21
4355,New Hampshire,SEVERE STORM AND FLOODING," $72,739.02 ",96985.36
4051,Massachusetts,SEVERE STORM AND SNOWSTORM," $71,284,694.56 ",94882200.71
4049,New Hampshire,SEVERE STORM AND SNOWSTORM," $3,337,545.64 ",4446841.16
4246,Idaho,SEVERE STORM AND STRAIGHT-LINE WIND," $2,592,294.32 ",3415559.27
4083,Washington,"SEVERE STORM, STRAIGHT-LINE WINDS, AND FLOODING"," $2,860,240.58 ",3792397.7
4094,Alaska,"SEVERE STORM, STRAIGHT-LINE WINDS, FLOODING, AND LANDSLIDES"," $21,120,829.64 ",28065221.46
4066,Vermont,"SEVERE STORM, TORNADO, AND FLOODING"," $1,017,761.39 ",1349637.47
4278,Kentucky,"SEVERE STORM, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"," $4,667,468.23 ",6172027.4
4073,District of Columbia,SEVERE STORMS ," $2,914,288.63 ",3885718.1
1895,Massachusetts,SEVERE STORMS AND  FLOODING," $25,820,705.01 ",34124969.79
1894,Rhode Island,SEVERE STORMS AND  FLOODING," $24,529,662.01 ",27156214.11
4277,Louisiana,SEVERE STORMS AND FLOODING," $566,363,038.94 ",627636971.5
1829,North Dakota,SEVERE STORMS AND FLOODING," $114,432,778.94 ",128347524.2
4241,South Carolina,SEVERE STORMS AND FLOODING," $102,454,895.11 ",134168330
1899,New York,SEVERE STORMS AND FLOODING," $86,159,317.61 ",114879088.5
4199,New Mexico,SEVERE STORMS AND FLOODING," $84,835,484.77 ",112159955.5
1858,Georgia,SEVERE STORMS AND FLOODING," $80,806,079.40 ",106488372
4263,Louisiana,SEVERE STORMS AND FLOODING," $76,550,758.32 ",100775119.1
4272,Texas,SEVERE STORMS AND FLOODING," $62,995,276.59 ",83120262.34
4129,New York,SEVERE STORMS AND FLOODING," $57,025,857.67 ",74875860.87
1771,Illinois,SEVERE STORMS AND FLOODING," $55,104,053.35 ",68457431.81
1924,Nebraska,SEVERE STORMS AND FLOODING," $49,926,354.50 ",66539500
4069,Minnesota,SEVERE STORMS AND FLOODING," $43,464,442.03 ",57459506.06
1996,Montana,SEVERE STORMS AND FLOODING," $41,980,729.04 ",55951692.3
1857,New York,SEVERE STORMS AND FLOODING," $40,957,788.89 ",54919384.95
4138,Florida,SEVERE STORMS AND FLOODING," $38,802,254.91 ",51330576.82
1783,New Mexico,SEVERE STORMS AND FLOODING," $38,628,220.78 ",51346274.53
4002,Ohio,SEVERE STORMS AND FLOODING," $32,964,612.36 ",43743233.34
1897,New Jersey,SEVERE STORMS AND FLOODING," $31,580,849.98 ",41983423.13
1830,Minnesota,SEVERE STORMS AND FLOODING," $29,675,993.97 ",39194602.22
1773,Missouri,SEVERE STORMS AND FLOODING," $28,697,245.28 ",35755418.49
1800,Illinois,SEVERE STORMS AND FLOODING," $27,884,821.59 ",37122249.73
1798,Puerto Rico,SEVERE STORMS AND FLOODING," $27,628,716.85 ",36650635.61
4292,Pennsylvania,SEVERE STORMS AND FLOODING," $27,323,547.17 ",36024422.15
4180,New York,SEVERE STORMS AND FLOODING," $26,982,775.19 ",35864761.77
1749,Missouri,SEVERE STORMS AND FLOODING," $26,045,574.54 ",34555581.36
1941,Minnesota,SEVERE STORMS AND FLOODING," $25,610,976.28 ",33872384.36
1795,Indiana,SEVERE STORMS AND FLOODING," $25,056,463.95 ",33230087.11
1982,Minnesota,SEVERE STORMS AND FLOODING," $20,615,128.91 ",27256412.59
4259,Georgia,SEVERE STORMS AND FLOODING," $20,352,313.45 ",27081429.6
1870,Alabama,SEVERE STORMS AND FLOODING," $19,986,986.22 ",26425480.68
4195,Michigan,SEVERE STORMS AND FLOODING," $15,239,642.76 ",19156523.58
1991,Illinois,SEVERE STORMS AND FLOODING," $13,938,556.78 ",18764512.42
4289,Iowa,SEVERE STORMS AND FLOODING," $13,682,868.14 ",18098782.95
1995,Vermont,SEVERE STORMS AND FLOODING," $13,353,019.85 ",17698059.91
1922,Montana,SEVERE STORMS AND FLOODING," $12,671,577.15 ",12885066.31
4001,Vermont,SEVERE STORMS AND FLOODING," $10,666,699.48 ",14134420.89
4128,North Dakota,SEVERE STORMS AND FLOODING," $10,220,498.76 ",13554249.63
1872,Arkansas,SEVERE STORMS AND FLOODING," $9,792,672.66 ",12952058.88
1775,Oklahoma,SEVERE STORMS AND FLOODING," $9,638,507.73 ",12747698.71
1904,Connecticut,SEVERE STORMS AND FLOODING," $9,398,848.44 ",12445122.08
